Beat Count,Instrument 1,Instrument 2,Section
&,Bass Drum,Hi-Hat (Open),
a,,,
54,Bass Drum,Hi-Hat (Open),
e,,,
&,Hi-Hat (Open),,
a,,,
55,Snare Drum,Hi-Hat (Open),
e,,,
&,Bass Drum,Hi-Hat (Open),
a,,,
56,Bass Drum,Hi-Hat (Open),
e,,,
&,Hi-Hat (Open),,
a,,,
57,Snare Drum,Hi-Hat (Open),
e,,,
&,Bass Drum,Hi-Hat (Open),
a,,,
58,Bass Drum,Hi-Hat (Open),
e,,,
&,Hi-Hat (Open),,
a,,,
59,Snare Drum,Hi-Hat (Open),
e,,,
&,Bass Drum,Hi-Hat (Open),
a,,,
60,Bass Drum,Hi-Hat (Open),
e,,,
&,Hi-Hat (Open),,
a,,,
61,Snare Drum,Hi-Hat (Open),
e,,,
&,Bass Drum,Hi-Hat (Open),
a,,,
62,Bass Drum,Hi-Hat (Open),
e,,,
&,Hi-Hat (Open),,
a,,,
63,Snare Drum,Hi-Hat (Open),
e,,,
&,Bass Drum,Hi-Hat (Open),
a,,,
64,Bass Drum,Hi-Hat (Open),
e,,,
&,Hi-Hat (Open),,
a,,,
65,Snare Drum,Hi-Hat (Open),
e,,,
&,Bass Drum,Hi-Hat (Open),
a,,,
66,Bass Drum,Hi-Hat (Open),
e,,,
&,Hi-Hat (Open),,
a,,,
67,Snare Drum,Hi-Hat (Open),
e,,,
&,Bass Drum,Hi-Hat (Open),
a,,,
68,Bass Drum,Hi-Hat (Open),
e,,,
&,Hi-Hat (Open),,
a,,,
69,Snare Drum,Hi-Hat (Open),
e,,,
&,Bass Drum,Hi-Hat (Open),
a,,,
70,Bass Drum,Hi-Hat (Open),
e,,,
&,Snare Drum,Tom-tom,
a,,,
71,Hi-Hat (Open),,
e,,,
&,Bass Drum,Hi-Hat (Open),
a,,,
72,Snare Drum,Tom-tom,
e,,,
&,Bass Drum,,
a,,,
73,Snare Drum,Tom-tom,
e,,,
&,Bass Drum,,
a,,,
74,Bass Drum,Ghost Note,
e,,,
&,Ghost Note,,
a,,,
75,Snare Drum,Ghost Note,
e,,,
&,Bass Drum,Ghost Note,
a,,,
76,Bass Drum,Ghost Note,
e,,,
&,Ghost Note,,
a,,,
77,Snare Drum,Ghost Note,
e,,,
&,Bass Drum,Ghost Note,
a,,,
78,Bass Drum,Ghost Note,
e,,,
&,Ghost Note,,
a,,,
79,Snare Drum,Ghost Note,
e,,,
&,Bass Drum,Ghost Note,
a,,,
80,Bass Drum,Ghost Note,
e,,,
&,Ghost Note,,
a,,,
81,Snare Drum,Ghost Note,
e,,,
&,Bass Drum,Ghost Note,
a,,,
82,Bass Drum,Ghost Note,
e,,,
&,Ghost Note,,
a,,,
83,Snare Drum,Ghost Note,
e,,,
&,Bass Drum,Ghost Note,
a,,,
84,Bass Drum,Ghost Note,
e,,,
&,Ghost Note,,
a,,,
85,Snare Drum,Ghost Note,
e,,,
&,Bass Drum,Ghost Note,
a,,,
86,Bass Drum,Ghost Note,
e,,,
&,Ghost Note,,
a,,,
87,Snare Drum,Ghost Note,
e,,,
&,Bass Drum,Ghost Note,
a,,,
88,Bass Drum,Ghost Note,
e,,,
&,Bass Drum,Ghost Note,
a,,,
89,Snare Drum,Ghost Note,
e,,,
&,Bass Drum,Ghost Note,
a,,,
90,Bass Drum,Ghost Note,
e,,,
&,Ghost Note,,
a,,,
91,Snare Drum,Ghost Note,
e,,,
&,Bass Drum,Ghost Note,
a,,,
92,Bass Drum,Ghost Note,
e,,,
&,Ghost Note,,
a,,,
93,Snare Drum,Ghost Note,
e,,,
&,Bass Drum,Ghost Note,
a,,,
94,Bass Drum,Ghost Note,
e,,,
&,Ghost Note,,
a,,,
95,Snare Drum,Ghost Note,
e,,,
&,Bass Drum,Ghost Note,
a,,,
96,Bass Drum,Ghost Note,
e,,,
&,Ghost Note,,
a,,,
97,Snare Drum,Ghost Note,
e,,,
&,Bass Drum,Ghost Note,
a,,,
98,Bass Drum,Ghost Note,
e,,,
&,Ghost Note,,
a,,,
99,Snare Drum,Ghost Note,
e,,,
&,Bass Drum,Ghost Note,
a,,,
100,Bass Drum,Ghost Note,
e,,,
&,Ghost Note,,
a,,,
101,Snare Drum,Ghost Note,
e,,,
&,Bass Drum,Ghost Note,
a,,,
102,Bass Drum,Ghost Note,
e,,,
&,Snare Drum,Tom-tom,
a,,,
103,Ghost Note,,
e,,,
&,Bass Drum,Ghost Note,
a,,,
104,Snare Drum,Tom-tom,
e,,,
&,Bass Drum,,
a,,,
105,Snare Drum,Tom-tom,
e,,,
&,Bass Drum,,
a,,,
106,Bass Drum,Tom-tom,
e,,,
&,Hi-Hat (Open),,
a,,,
107,Snare Drum,Hi-Hat (Open),
e,,,
&,Bass Drum,Tom-tom,
a,,,
108,Hi-Hat (Open),,
e,,,
&,Bass Drum,Hi-Hat (Open),
a,,,
109,Snare Drum,Hi-Hat (Open),
e,,,
&,Hi-Hat (Open),,
a,,,
110,Bass Drum,Tom-tom,
e,,,
&,Hi-Hat (Open),,
a,,,
111,Snare Drum,Hi-Hat (Open),
e,,,
&,Bass Drum,Tom-tom,
a,,,
112,Hi-Hat (Open),,
e,,,
&,Bass Drum,Hi-Hat (Open),
a,,,
113,Snare Drum,Hi-Hat (Open),
e,,,
&,Bass Drum,Hi-Hat (Open),
a,,,
114,Bass Drum,Tom-tom,
e,,,
&,Hi-Hat (Open),,
a,,,
115,Snare Drum,Hi-Hat (Open),
e,,,
&,Bass Drum,Hi-Hat (Open),
a,,,
116,Bass Drum,Hi-Hat (Open),
e,,,
&,Hi-Hat (Open),,
a,,,
117,Snare Drum,Hi-Hat (Open),
e,,,
&,Bass Drum,Hi-Hat (Open),
a,,,
118,Bass Drum,Hi-Hat (Open),
e,,,
&,Hi-Hat (Open),,
a,,,
119,Snare Drum,Hi-Hat (Open),
e,,,
&,Bass Drum,Hi-Hat (Open),
a,,,
120,Bass Drum,Hi-Hat (Open),
e,,,
&,Hi-Hat (Open),,
a,,,
121,Snare Drum,Hi-Hat (Open),
e,,,
&,Bass Drum,Hi-Hat (Open),
a,,,
122,Bass Drum,Hi-Hat (Open),
e,,,
&,Hi-Hat (Open),,
a,,,
123,Snare Drum,Hi-Hat (Open),
e,,,
&,Bass Drum,Hi-Hat (Open),
a,,,
124,Bass Drum,Hi-Hat (Open),
e,,,
&,Snare Drum,Tom-tom,
a,,,
125,Snare Drum,Tom-tom,
e,,,
&,,,
a,,,
126,Bass Drum,Tom-tom,
e,,,
&,Hi-Hat (Open),,
a,,,
127,Snare Drum,Hi-Hat (Open),
e,,,
&,Bass Drum,Hi-Hat (Open),
a,,,
128,Bass Drum,Hi-Hat (Open),
e,,,
&,Hi-Hat (Open),,
a,,,
129,Snare Drum,Hi-Hat (Open),
e,,,
&,Bass Drum,Hi-Hat (Open),
a,,,
130,Bass Drum,Hi-Hat (Open),
e,,,
&,Hi-Hat (Open),,
a,,,
131,Snare Drum,Hi-Hat (Open),
e,,,
&,Bass Drum,Hi-Hat (Open),
a,,,
132,Bass Drum,Hi-Hat (Open),
e,,,
&,Hi-Hat (Open),,
a,,,
133,Hi-Hat (Open),,
e,,,
&,Bass Drum,Hi-Hat (Open),
a,,,
134,Bass Drum,Hi-Hat (Open),
e,,,
&,Hi-Hat (Open),,
a,,,
135,Snare Drum,Hi-Hat (Open),
e,,,
&,Bass Drum,Hi-Hat (Open),
a,,,
136,Bass Drum,Hi-Hat (Open),
e,,,
&,Hi-Hat (Open),,
a,,,
137,Hi-Hat (Open),,
e,,,
&,Bass Drum,Hi-Hat (Open),
a,,,
138,Bass Drum,Hi-Hat (Open),
e,,,
&,Hi-Hat (Open),,
a,,,
139,Snare Drum,Hi-Hat (Open),
e,,,
&,Bass Drum,Hi-Hat (Open),
a,,,
140,Bass Drum,Hi-Hat (Open),
e,,,
&,Hi-Hat (Open),,
a,,,
141,Hi-Hat (Open),,
e,,,
&,Bass Drum,Hi-Hat (Open),
a,,,
142,Bass Drum,Hi-Hat (Open),
e,,,
&,Hi-Hat (Open),,
a,,,
143,Snare Drum,Hi-Hat (Open),
e,,,
&,Bass Drum,Hi-Hat (Open),
a,,,
144,Bass Drum,Hi-Hat (Open),
e,,,
&,Hi-Hat (Open),,
a,,,
145,Hi-Hat (Open),,
e,,,
&,Bass Drum,Hi-Hat (Open),
a,,,
146,Bass Drum,Hi-Hat (Open),
e,,,
&,Hi-Hat (Open),,
a,,,
147,Snare Drum,Hi-Hat (Open),
e,,,
&,Bass Drum,Hi-Hat (Open),
a,,,
148,Bass Drum,Hi-Hat (Open),
e,,,
&,Hi-Hat (Open),,
a,,,
149,Hi-Hat (Open),,
e,,,
&,Bass Drum,Hi-Hat (Open),
a,,,
150,Bass Drum,Hi-Hat (Open),
e,,,
&,Hi-Hat (Open),,
a,,,
151,Snare Drum,Hi-Hat (Open),
e,,,
&,Bass Drum,Hi-Hat (Open),
a,,,
152,Bass Drum,Hi-Hat (Open),
e,,,
&,Hi-Hat (Open),,
a,,,
153,Hi-Hat (Open),,
e,,,
&,Bass Drum,Hi-Hat (Open),
a,,,
154,Bass Drum,Hi-Hat (Open),
e,,,
&,Snare Drum,Tom-tom,
a,,,
155,Hi-Hat (Open),,
e,,,
&,Bass Drum,Hi-Hat (Open),
a,,,
156,Snare Drum,Tom-tom,
e,,,
&,Bass Drum,,
a,,,
157,Snare Drum,Tom-tom,
e,,,
&,,,
a,,,
158,Bass Drum,Ghost Note,
e,,,
&,Ghost Note,,
a,,,
159,Snare Drum,Ghost Note,
e,,,
&,Bass Drum,Ghost Note,
a,,,
160,Bass Drum,Ghost Note,
e,,,
&,Ghost Note,,
a,,,
161,Snare Drum,Ghost Note,
e,,,
&,Bass Drum,Ghost Note,
a,,,
162,Bass Drum,Ghost Note,
e,,,
&,Ghost Note,,
a,,,
163,Snare Drum,Ghost Note,
e,,,
&,Bass Drum,Ghost Note,
a,,,
164,Bass Drum,Ghost Note,
e,,,
&,Ghost Note,,
a,,,
165,Snare Drum,Ghost Note,
e,,,
&,Bass Drum,Ghost Note,
a,,,
166,Bass Drum,Ghost Note,
e,,,
&,Ghost Note,,
a,,,
167,Snare Drum,Ghost Note,
e,,,
&,Bass Drum,Ghost Note,
a,,,
168,Bass Drum,Ghost Note,
e,,,
&,Ghost Note,,
a,,,
169,Snare Drum,Ghost Note,
e,,,
&,Bass Drum,Ghost Note,
a,,,
170,Bass Drum,Ghost Note,
e,,,
&,Ghost Note,,
a,,,
171,Snare Drum,Ghost Note,
e,,,
&,Bass Drum,Ghost Note,
a,,,
172,Bass Drum,Ghost Note,
e,,,
&,Bass Drum,Ghost Note,
a,,,
173,Snare Drum,Ghost Note,
e,,,
&,Bass Drum,Ghost Note,
a,,,
174,Bass Drum,Ghost Note,
e,,,
&,Ghost Note,,
a,,,
175,Snare Drum,Ghost Note,
e,,,
&,Bass Drum,Ghost Note,
a,,,
176,Bass Drum,Ghost Note,
e,,,
&,Ghost Note,,
a,,,
177,Snare Drum,Ghost Note,
e,,,
&,Bass Drum,Ghost Note,
a,,,
178,Bass Drum,Ghost Note,
e,,,
&,Ghost Note,,
a,,,
179,Snare Drum,Ghost Note,
e,,,
&,Bass Drum,Ghost Note,
a,,,
180,Bass Drum,Ghost Note,
e,,,
&,Ghost Note,,
a,,,
181,Snare Drum,Ghost Note,
e,,,
&,Bass Drum,Ghost Note,
a,,,
182,Bass Drum,Ghost Note,
e,,,
&,Ghost Note,,
a,,,
183,Snare Drum,Ghost Note,
e,,,
&,Bass Drum,Ghost Note,
a,,,
184,Bass Drum,Ghost Note,
e,,,
&,Ghost Note,,
a,,,
185,Snare Drum,Ghost Note,
e,,,
&,Bass Drum,Ghost Note,
a,,,
186,Bass Drum,Ghost Note,
e,,,
&,Snare Drum,Tom-tom,
a,,,
187,Ghost Note,,
e,,,
&,Bass Drum,Ghost Note,
a,,,
188,Snare Drum,Tom-tom,
e,,,
&,Bass Drum,,
a,,,
189,Snare Drum,Tom-tom,
e,,,
&,Bass Drum,,
a,,,
190,Bass Drum,Tom-tom,
e,,,
&,Hi-Hat (Open),,
a,,,
191,Snare Drum,Hi-Hat (Open),
e,,,
&,Bass Drum,Tom-tom,
a,,,
192,Hi-Hat (Open),,
e,,,
&,Bass Drum,Hi-Hat (Open),
a,,,
193,Snare Drum,Hi-Hat (Open),
e,,,
&,Hi-Hat (Open),,
a,,,
194,Bass Drum,Tom-tom,
e,,,
&,Hi-Hat (Open),,
a,,,
195,Snare Drum,Hi-Hat (Open),
e,,,
&,Bass Drum,Tom-tom,
a,,,
196,Hi-Hat (Open),,
e,,,
&,Bass Drum,Hi-Hat (Open),
a,,,
197,Snare Drum,Hi-Hat (Open),
e,,,
&,Bass Drum,Hi-Hat (Open),
a,,,
198,Bass Drum,Tom-tom,
e,,,
&,Hi-Hat (Open),,
a,,,
199,Snare Drum,Hi-Hat (Open),
e,,,
&,Bass Drum,Hi-Hat (Open),
a,,,
200,Bass Drum,Hi-Hat (Open),
e,,,
&,Hi-Hat (Open),,
a,,,
201,Snare Drum,Hi-Hat (Open),
e,,,
&,Bass Drum,Hi-Hat (Open),
a,,,
202,Bass Drum,Hi-Hat (Open),
e,,,
&,Hi-Hat (Open),,
a,,,
203,Snare Drum,Hi-Hat (Open),
e,,,
&,Bass Drum,Hi-Hat (Open),
a,,,
204,Bass Drum,Hi-Hat (Open),
e,,,
&,Hi-Hat (Open),,
a,,,
205,Snare Drum,Hi-Hat (Open),
e,,,
&,Bass Drum,Hi-Hat (Open),
a,,,
206,Bass Drum,Hi-Hat (Open),
e,,,
&,Hi-Hat (Open),,
a,,,
207,Snare Drum,Hi-Hat (Open),
e,,,
&,Bass Drum,Hi-Hat (Open),
a,,,
208,Bass Drum,Hi-Hat (Open),
e,,,
&,Snare Drum,Tom-tom,
a,,,
209,Snare Drum,Tom-tom,
e,,,
&,,,
a,,,
210,Bass Drum,Tom-tom,
e,,,
&,Hi-Hat (Open),,
a,,,
211,Snare Drum,Hi-Hat (Open),
e,,,
&,Bass Drum,Hi-Hat (Open),
a,,,
212,Bass Drum,Hi-Hat (Open),
e,,,
&,Hi-Hat (Open),,
a,,,
213,Snare Drum,Hi-Hat (Open),
e,,,
&,Bass Drum,Hi-Hat (Open),
a,,,
214,Bass Drum,Hi-Hat (Open),
e,,,
&,Hi-Hat (Open),,
a,,,
215,Snare Drum,Hi-Hat (Open),
e,,,
&,Bass Drum,Hi-Hat (Open),
a,,,
216,Bass Drum,Hi-Hat (Open),
e,,,
&,Hi-Hat (Open),,
a,,,
217,Hi-Hat (Open),,
e,,,
&,Bass Drum,Hi-Hat (Open),
a,,,
218,Bass Drum,Hi-Hat (Open),
e,,,
&,Hi-Hat (Open),,
a,,,
219,Snare Drum,Hi-Hat (Open),
e,,,
&,Bass Drum,Hi-Hat (Open),
a,,,
220,Bass Drum,Hi-Hat (Open),
e,,,
&,Hi-Hat (Open),,
a,,,
221,Hi-Hat (Open),,
e,,,
&,Bass Drum,Hi-Hat (Open),
a,,,
222,Bass Drum,Hi-Hat (Open),
e,,,
&,Hi-Hat (Open),,
a,,,
223,Snare Drum,Hi-Hat (Open),
e,,,
&,Bass Drum,Hi-Hat (Open),
a,,,
224,Bass Drum,Hi-Hat (Open),
e,,,
&,Hi-Hat (Open),,
a,,,
225,Hi-Hat (Open),,
e,,,
&,Bass Drum,Hi-Hat (Open),
a,,,
226,Bass Drum,Hi-Hat (Open),
e,,,
&,Hi-Hat (Open),,
a,,,
227,Snare Drum,Hi-Hat (Open),
e,,,
&,Bass Drum,Hi-Hat (Open),
a,,,
228,Bass Drum,Hi-Hat (Open),
e,,,
&,Hi-Hat (Open),,
a,,,
229,Hi-Hat (Open),,
e,,,
&,Bass Drum,Hi-Hat (Open),
a,,,
230,Bass Drum,Hi-Hat (Open),
e,,,
&,Hi-Hat (Open),,
a,,,
231,Snare Drum,Hi-Hat (Open),
e,,,
&,Bass Drum,Hi-Hat (Open),
a,,,
232,Bass Drum,Hi-Hat (Open),
e,,,
&,Hi-Hat (Open),,
a,,,
233,Hi-Hat (Open),,
e,,,
&,Bass Drum,Hi-Hat (Open),
a,,,
234,Bass Drum,Hi-Hat (Open),
e,,,
&,Hi-Hat (Open),,
a,,,
235,Snare Drum,Hi-Hat (Open),
e,,,
&,Bass Drum,Hi-Hat (Open),
a,,,
236,Bass Drum,Hi-Hat (Open),
e,,,
&,Hi-Hat (Open),,
a,,,
237,Hi-Hat (Open),,
e,,,
&,Bass Drum,Hi-Hat (Open),
a,,,
238,Bass Drum,Hi-Hat (Open),
e,,,
&,Snare Drum,Tom-tom,
a,,,
239,Hi-Hat (Open),,
e,,,
&,Bass Drum,Hi-Hat (Open),
a,,,
240,Snare Drum,Tom-tom,
e,,,
&,Bass Drum,,
a,,,
241,Snare Drum,Tom-tom,
e,,,
&,,,
a,,,
242,Bass Drum,Tom-tom,
e,,,
&,Hi-Hat (Open),,
a,,,
243,Snare Drum,Hi-Hat (Open),
e,,,
&,Bass Drum,Tom-tom,
a,,,
244,Hi-Hat (Open),,
e,,,
&,Bass Drum,Hi-Hat (Open),
a,,,
245,Snare Drum,Hi-Hat (Open),
e,,,
&,Hi-Hat (Open),,
a,,,
246,Bass Drum,Tom-tom,
e,,,
&,Hi-Hat (Open),,
a,,,
247,Snare Drum,Hi-Hat (Open),
e,,,
&,Bass Drum,Tom-tom,
a,,,
248,Hi-Hat (Open),,
e,,,
&,Bass Drum,Hi-Hat (Open),
a,,,
249,Snare Drum,Hi-Hat (Open),
e,,,
&,Bass Drum,Hi-Hat (Open),
a,,,
250,Bass Drum,Tom-tom,
e,,,
&,Hi-Hat (Open),,
a,,,
251,Snare Drum,Hi-Hat (Open),
e,,,
&,Bass Drum,Hi-Hat (Open),
a,,,
252,Bass Drum,Hi-Hat (Open),
e,,,
&,Hi-Hat (Open),,
a,,,
253,Snare Drum,Hi-Hat (Open),
e,,,
&,Bass Drum,Hi-Hat (Open),
a,,,
254,Bass Drum,Hi-Hat (Open),
e,,,
&,Hi-Hat (Open),,
a,,,
255,Snare Drum,Hi-Hat (Open),
e,,,
&,Bass Drum,Hi-Hat (Open),
a,,,
256,Bass Drum,Hi-Hat (Open),
e,,,
&,Hi-Hat (Open),,
a,,,
257,Snare Drum,Hi-Hat (Open),
e,,,
&,Bass Drum,Hi-Hat (Open),
a,,,
258,Bass Drum,Tom-tom,
e,,,
&,Hi-Hat (Open),,
a,,,
259,Snare Drum,Hi-Hat (Open),
e,,,
&,Bass Drum,Tom-tom,
a,,,
260,Hi-Hat (Open),,
e,,,
&,Bass Drum,Hi-Hat (Open),
a,,,
261,Snare Drum,Hi-Hat (Open),
e,,,
&,Hi-Hat (Open),,
a,,,
262,Bass Drum,Tom-tom,
e,,,
&,Hi-Hat (Open),,
a,,,
263,Snare Drum,Hi-Hat (Open),
e,,,
&,Bass Drum,Tom-tom,
a,,,
264,Hi-Hat (Open),,
e,,,
&,Bass Drum,Hi-Hat (Open),
a,,,
265,Snare Drum,Hi-Hat (Open),
e,,,
&,Hi-Hat (Open),,
a,,,
266,Bass Drum,Tom-tom,
e,,,
&,Tom-tom,Snare Drum,
a,,,
267,Tom-tom,Snare Drum,
e,,,
&,Tom-tom,Snare Drum,
a,,,
268,Tom-tom,Snare Drum,
e,,,
&,Tom-tom,Snare Drum,
a,,,
269,Tom-tom,Snare Drum,
e,,,
&,Tom-tom,Snare Drum,
a,,,
270,Tom-tom,Snare Drum,
e,,,
&,Tom-tom,Snare Drum,
a,,,
271,Tom-tom,Snare Drum,
e,,,
&,Tom-tom,Snare Drum,
a,,,
272,Tom-tom,Snare Drum,
e,,,
&,Bass Drum,,
a,,,
273,Snare Drum,Snare Drum,
e,,,
&,,,
a,,,
274,Bass Drum,Tom-tom,
e,,,
&,Hi-Hat (Open),,
a,,,
275,Snare Drum,Hi-Hat (Open),
e,,,
&,Bass Drum,Tom-tom,
a,,,
276,Hi-Hat (Open),,
e,,,
&,Bass Drum,Hi-Hat (Open),
a,,,
277,Snare Drum,Hi-Hat (Open),
e,,,
&,Hi-Hat (Open),,
a,,,
278,Bass Drum,Tom-tom,
e,,,
&,Hi-Hat (Open),,
a,,,
279,Snare Drum,Hi-Hat (Open),
e,,,
&,Bass Drum,Hi-Hat (Open),
a,,,
280,Hi-Hat (Open),,
e,,,
&,Bass Drum,Hi-Hat (Open),
a,,,
281,Snare Drum,Hi-Hat (Open),
e,,,
&,Hi-Hat (Open),,
a,,,
282,Bass Drum,Tom-tom,
e,,,
&,Tom-tom,Snare Drum,
a,,,
283,Tom-tom,Snare Drum,
e,,,
&,Tom-tom,Snare Drum,
a,,,
284,Tom-tom,Snare Drum,
e,,,
&,Tom-tom,Snare Drum,
a,,,
285,Tom-tom,Snare Drum,
e,,,
&,Tom-tom,Snare Drum,
a,,,
286,Tom-tom,Snare Drum,
e,,,
&,Tom-tom,Snare Drum,
a,,,
287,Tom-tom,Snare Drum,
e,,,
&,Tom-tom,Snare Drum,
a,,,
288,Tom-tom,Snare Drum,
e,,,
&,Tom-tom,Snare Drum,
a,,,
289,Snare Drum,Snare Drum,
e,,,
&,,,
a,,,
290,Bass Drum,Tom-tom,
e,,,
&,Hi-Hat (Open),,
a,,,
291,Snare Drum,Hi-Hat (Open),
e,,,
&,Bass Drum,Tom-tom,
a,,,
292,Hi-Hat (Open),,
e,,,
&,Bass Drum,Hi-Hat (Open),
a,,,
293,Snare Drum,Hi-Hat (Open),
e,,,
&,Hi-Hat (Open),,
a,,,
294,Bass Drum,Tom-tom,
e,,,
&,Hi-Hat (Open),,
a,,,
295,Snare Drum,Hi-Hat (Open),
e,,,
&,Bass Drum,Hi-Hat (Open),
a,,,
296,Hi-Hat (Open),,
e,,,
&,Bass Drum,Hi-Hat (Open),
a,,,
297,Snare Drum,Hi-Hat (Open),
e,,,
&,Hi-Hat (Open),,
a,,,
298,Bass Drum,Tom-tom,
e,,,
&,Hi-Hat (Open),,
a,,,
299,Snare Drum,Hi-Hat (Open),
e,,,
&,Bass Drum,Hi-Hat (Open),
a,,,
300,Hi-Hat (Open),,
e,,,
&,Bass Drum,Hi-Hat (Open),
a,,,
301,Snare Drum,Hi-Hat (Open),
e,,,
&,Hi-Hat (Open),,
a,,,
302,Bass Drum,Tom-tom,
e,,,
&,Hi-Hat (Open),,
a,,,
303,Snare Drum,Hi-Hat (Open),
e,,,
&,Bass Drum,Hi-Hat (Open),
a,,,
304,Bass Drum,Tom-tom,
e,,,
&,,,
a,,,
305,Bass Drum,Tom-tom,
e,,,
&,,,
a,,,
306,Bass Drum,Ghost Note,
e,,,
&,Ghost Note,,
a,,,
307,Snare Drum,Ghost Note,
e,,,
&,Bass Drum,Ghost Note,
a,,,
308,Ghost Note,,
e,,,
&,Ghost Note,,
a,,,
309,Snare Drum,Ghost Note,
e,,,
&,Ghost Note,,
a,,,
310,Bass Drum,Ghost Note,
e,,,
&,Ghost Note,,
a,,,
311,Snare Drum,Ghost Note,
e,,,
&,Bass Drum,Ghost Note,
a,,,
312,Ghost Note,,
e,,,
&,Ghost Note,,
a,,,
313,Snare Drum,Ghost Note,
e,,,
&,Ghost Note,,
a,,,
314,Bass Drum,Ghost Note,
e,,,
&,Ghost Note,,
a,,,
315,Snare Drum,Ghost Note,
e,,,
&,Bass Drum,Ghost Note,
a,,,
316,Ghost Note,,
e,,,
&,Ghost Note,,
a,,,
317,Snare Drum,Ghost Note,
e,,,
&,Ghost Note,,
a,,,
318,Ghost Note,,
e,,,
&,Bass Drum,Ghost Note,
a,,,
319,Snare Drum,Ghost Note,
e,,,
&,Bass Drum,Ghost Note,
a,,,
320,Bass Drum,Ghost Note,
e,,,
&,Ghost Note,,
a,,,
321,Snare Drum,Ghost Note,
e,,,
&,Ghost Note,,
a,,,
322,Bass Drum,Ghost Note,
e,,,
&,Ghost Note,,
a,,,
323,Snare Drum,Ghost Note,
e,,,
&,Bass Drum,Ghost Note,
a,,,
324,Ghost Note,,
e,,,
&,Ghost Note,,
a,,,
325,Snare Drum,Ghost Note,
e,,,
&,Ghost Note,,
a,,,
326,Bass Drum,Ghost Note,
e,,,
&,Ghost Note,,
a,,,
327,Snare Drum,Ghost Note,
e,,,
&,Bass Drum,Ghost Note,
a,,,
328,Ghost Note,,
e,,,
&,Ghost Note,,
a,,,
329,Snare Drum,Ghost Note,
e,,,
&,Ghost Note,,
a,,,
330,Bass Drum,Ghost Note,
e,,,
&,Ghost Note,,
a,,,
331,Snare Drum,Ghost Note,
e,,,
&,Bass Drum,Ghost Note,
a,,,
332,Ghost Note,,
e,,,
&,Ghost Note,,
a,,,
333,Snare Drum,Ghost Note,
e,,,
&,Ghost Note,,
a,,,
334,Ghost Note,,
e,,,
&,Bass Drum,Ghost Note,
a,,,
335,Snare Drum,Ghost Note,
e,,,
&,Bass Drum,Ghost Note,
a,,,
336,Bass Drum,Ghost Note,
e,,,
&,Ghost Note,,
a,,,
337,Snare Drum,Ghost Note,
e,,,
&,Snare Drum,Ghost Note,
a,,,
